Time [s],Packet ID,MOSI,MISO
2.4384795,162,'0' (0x00),'128' (0x80)
2.438516625,163,'165' (0xA5),'14' (0x0E)
2.438523125,163,'0' (0x00),@ (0x40)
2.438557,164,'128' (0x80),'14' (0x0E)
2.438563375,164,'14' (0x0E),'14' (0x0E)
2.4385695,164,'1' (0x01),'14' (0x0E)
2.438575875,164,7 (0x37),'14' (0x0E)
2.438582125,164,'0' (0x00),'14' (0x0E)
2.4385895,164,L (0x4C),'14' (0x0E)
2.438596875,164,O (0x4F),'14' (0x0E)
2.438604125,164,: (0x3A),'14' (0x0E)
2.4386115,164,5 (0x35),'14' (0x0E)
2.43861875,164,m (0x6D),'14' (0x0E)
2.438626125,164,' ' (0x20),'14' (0x0E)
2.438633375,164,B (0x42),'14' (0x0E)
2.43864075,164,A (0x41),'14' (0x0E)
2.438648,164,T (0x54),'14' (0x0E)
2.438655375,164,: (0x3A),'14' (0x0E)
2.43866275,164,v (0x76),'14' (0x0E)
2.438700875,165,'1' (0x01),'14' (0x0E)
2.438707,165,'0' (0x00),'4' (0x04)
2.43874425,166,'129' (0x81),'14' (0x0E)
2.438750625,166,'12' (0x0C),'4' (0x04)
2.4388025,167,'1' (0x01),'14' (0x0E)
2.43880875,167,'0' (0x00),'12' (0x0C)
2.438845875,168,'129' (0x81),'14' (0x0E)
2.438852375,168,'4' (0x04),'12' (0x0C)
2.438895875,169,'1' (0x01),'14' (0x0E)
2.438902125,169,'0' (0x00),'12' (0x0C)
2.43893925,170,'129' (0x81),'14' (0x0E)
2.43894575,170,'0' (0x00),'12' (0x0C)
2.4395785,171,= (0x3D),'14' (0x0E)
2.43958475,171,'0' (0x00),'18' (0x12)
2.439621875,172,'189' (0xBD),'14' (0x0E)
2.43962825,172,'22' (0x16),'18' (0x12)
2.43968,173,( (0x28),'14' (0x0E)
2.43968625,173,'0' (0x00),'0' (0x00)
2.4397235,174,'165' (0xA5),'14' (0x0E)
2.43973,174,@ (0x40),'0' (0x00)
2.439769125,175,'1' (0x01),'14' (0x0E)
2.43977525,175,'0' (0x00),'0' (0x00)
2.4398125,176,'129' (0x81),'14' (0x0E)
2.439818875,176,'16' (0x10),'0' (0x00)
2.439855125,177,' (0x27),'14' (0x0E)
2.439861375,177,'0' (0x00),'0' (0x00)
2.43989875,178,' (0x27),'14' (0x0E)
2.439905,178,'0' (0x00),'16' (0x10)
2.439942375,179,' (0x27),'14' (0x0E)
2.439948625,179,'0' (0x00),'16' (0x10)
2.439986,180,' (0x27),'14' (0x0E)
2.43999225,180,'0' (0x00),'144' (0x90)
2.44003325,181,$ (0x24),'14' (0x0E)
2.4400395,181,'0' (0x00),'255' (0xFF)
2.44008,182,'1' (0x01),'14' (0x0E)
2.44008625,182,'0' (0x00),'16' (0x10)
2.440123375,183,'129' (0x81),'14' (0x0E)
2.440129875,183,'4' (0x04),'16' (0x10)
2.440179375,184,' (0x27),'14' (0x0E)
2.440185625,184,'0' (0x00),'128' (0x80)
2.440222875,185,'165' (0xA5),'14' (0x0E)
2.44022925,185,'0' (0x00),@ (0x40)
2.440275125,186,'128' (0x80),'14' (0x0E)
2.4402815,186,'14' (0x0E),'14' (0x0E)
2.440287625,186,'1' (0x01),'14' (0x0E)
2.440294,186,7 (0x37),'14' (0x0E)
2.44030025,186,'0' (0x00),'14' (0x0E)
2.440307625,186,L (0x4C),'14' (0x0E)
2.440315,186,O (0x4F),'14' (0x0E)
2.44032225,186,: (0x3A),'14' (0x0E)
2.440329625,186,6 (0x36),'14' (0x0E)
2.440336875,186,m (0x6D),'14' (0x0E)
