Time[s], Data[Hex]
3.08165025, 1
3.0816505, 5
3.08165075, 1
3.081651, 5
3.08165125, 0
3.0816515, 4
3.08165175, 1
3.081652, 5
3.08165225, 1
3.081654375, 0
3.081654625, 4
3.081654875, 0
3.081655125, 4
3.081655375, 0
3.081655625, 4
3.081655875, 1
3.081656125, 5
3.081656375, 0
3.081656625, 4
3.081656875, 0
3.081657125, 4
3.081657375, 3
3.081657625, 7
3.081657875, 0
3.081658125, 4
3.081658375, 1
3.081673875, 9
3.08169725, 1
3.0817, 5
3.08170025, 1
3.0817005, 5
3.08170075, 1
3.081701, 5
3.08170125, 0
3.0817015, 4
3.08170175, 0
3.081701875, 1
3.081702125, 5
3.081702375, 1
3.081702625, 5
3.081702875, 1
3.081703125, 5
3.081703375, 1
3.081703625, 5
3.081703875, 1
3.081706, 0
3.08170625, 4
3.0817065, 0
3.08170675, 4
3.081707, 1
3.08170725, 5
3.0817075, 1
3.08170775, 5
3.081708, 0
3.08170825, 4
3.0817085, 0
3.08170875, 4
3.081709, 0
3.08170925, 4
3.0817095, 0
3.08170975, 4
3.08171, 1
3.081725375, 9
3.081752375, 1
3.081754875, 0
3.081755125, 4
3.081755375, 0
3.081755625, 4
3.081755875, 1
3.081756125, 5
3.081756375, 1
3.081756625, 5
3.081756875, 1
3.081757125, 5
3.081757375, 1
3.081757625, 5
3.081757875, 0
3.081758125, 4
3.081758375, 1
3.081758625, 5
3.081758875, 1
3.08176075, 0
3.081761, 4
3.08176125, 0
3.0817615, 4
3.08176175, 0
3.081762, 4
3.08176225, 2
3.0817625, 6
3.08176275, 0
3.081763, 4
3.08176325, 0
3.0817635, 4
3.08176375, 2
3.081764, 6
3.08176425, 0
3.0817645, 4
3.08176475, 1
3.081779, 9
3.08180325, 1
3.081806, 5
3.08180625, 0
3.0818065, 4
3.08180675, 1
3.081807, 5
3.08180725, 1
3.0818075, 5
3.08180775, 1
3.081808, 5
3.08180825, 1
3.0818085, 5
3.08180875, 0
3.081809, 4
3.08180925, 1
3.0818095, 5
3.08180975, 1
3.081811875, 0
3.081812125, 4
3.081812375, 0
3.081812625, 4
3.081812875, 0
3.081813125, 4
3.081813375, 3
3.081813625, 7
3.081813875, 0
3.081814125, 4
3.081814375, 0
3.081814625, 4
3.081814875, 3
3.081815125, 7
3.081815375, 0
3.081815625, 4
3.081815875, 1
3.08183125, 9
3.0818555, 1
3.08185825, 5
3.0818585, 0
3.08185875, 4
3.081859, 0
3.08185925, 4
3.0818595, 1
3.08185975, 5
3.08186, 0
3.08186025, 4
3.0818605, 0
3.08186075, 4
3.081861, 1
3.08186125, 5
3.0818615, 1
3.08186175, 5
3.081862, 1
3.081864125, 0
3.081864375, 4
3.081864625, 0
3.081864875, 4
3.081865125, 0
3.081865375, 4
3.081865625, 1
3.08186575, 3
3.081865875, 7
3.081866125, 3
3.081866375, 7
3.081866625, 2
3.08186675, 0
3.081866875, 4
3.081867125, 1
3.08186725, 3
3.081867375, 7
3.081867625, 2
3.08186775, 0
3.081867875, 4
3.081868125, 0
3.08186825, 1
3.081883625, 9
3.08190675, 1
3.0819095, 5
3.08190975, 0
3.08191, 4
3.08191025, 0
3.0819105, 4
3.08191075, 1
3.081911, 5
3.08191125, 0
3.0819115, 4
3.08191175, 0
3.081912, 4
3.08191225, 0
3.0819125, 4
3.08191275, 1
3.081913, 5
3.08191325, 3
3.081915625, 7
3.081915875, 0
3.081916125, 4
3.081916375, 0
3.081916625, 4
3.081916875, 3
3.081917125, 7
3.081917375, 3
3.081917625, 7
3.081917875, 3
3.081918125, 7
3.081918375, 3
3.081918625, 7
3.081918875, 3
3.081919125, 7
3.081919375, 1
3.08193475, 9
3.08196275, 1
3.08196525, 0
3.0819655, 4
3.08196575, 0
3.081966, 4
3.08196625, 1
3.0819665, 5
3.08196675, 0
